"added_at","arist_id","artist_name","album_name","track_duration_ms","track_explicit_flag","track_id","track_name","track_popularity","album_image","track_preview","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","temp","time_signature"
"2016-07-10T22:19:53Z","7Ege22sTyb3Tj5WCo73N4I","3rd & Union","3rd & Union",204040,FALSE,"6H0uuwheIoLSBLUBGeA08W","My Love",44,"https://i.scdn.co/image/2450b9254b234cc29e5d8d48b572c1fc301f9d97","https://p.scdn.co/mp3-preview/8bb78acf5352d80f018fa6c9e46875bf63311ce3",0.446,0.301,-8.175,1,0.0299,0.753,1.49e-06,0.0805,0.19,100.093,4
"2016-07-10T22:34:36Z","0heAERqkFjS3QpeGQCprAo","Corey Kent White","Making Noise",193912,FALSE,"6Qop6mu1D6sET7ssQfOrJR","She Ain't Perfect",48,"https://i.scdn.co/image/bed8a679e9d2e19a624936aebb26af00570faf8a","https://p.scdn.co/mp3-preview/2fd0508cb3a4ee5ec9fa9cbacfced3195e76a9d4",0.517,0.494,-7.466,1,0.0292,0.21,0,0.123,0.435,143.992,4
"2016-07-10T22:43:52Z","6HnFfQug60BF0wJPXpusXY","Jeremy Kay","I'll Be (Your Crying Shoulder) - Single",262371,FALSE,"0ipNYEbB1NvhSgu3Ntk1r0","I'll Be (Your Crying Shoulder)",47,"https://i.scdn.co/image/e37595db720c8e12c6683dc98f801f4d0114910b","https://p.scdn.co/mp3-preview/bfc71bc582fe554a3ca0ffaa059949199069e1c6",0.463,0.537,-5.477,1,0.0255,0.0139,0,0.153,0.115,136.553,3
"2016-07-10T22:55:56Z","3sqggE8rqIXZjB68hPbhen","Greek Fire","Top of the World",266168,FALSE,"1PvEOveuZFuu0LCKdKQRdN","Top of the World",50,"https://i.scdn.co/image/0f7861f9e9ff3b059bd13d374132804bd2870ecc","https://p.scdn.co/mp3-preview/5763024e2c8398dea4af524cac94cf552b085aa4",0.488,0.89,-4.408,1,0.0504,0.00198,0.000338,0.325,0.273,135.085,4
"2016-07-10T23:08:06Z","0fojCSjHUGoeGMPYbEZybu","Jefr Tale","500 Miles",251428,FALSE,"34KLU8DHsyjbCRwhcMhT42","500 Miles (feat. Louise Rademakers)",47,"https://i.scdn.co/image/ceddf658be0edee9dde026d1724bde038af401e5","https://p.scdn.co/mp3-preview/26602e282221a545133c652a9f13f36514b6d299",0.684,0.823,-3.293,0,0.0317,0.0408,0.00135,0.0738,0.315,126.035,4
"2016-07-10T23:12:13Z","7sEYE0eSWBS9KwHsmFO37Y","Jan Krist","Decapitated Society & Wing And A Prayer",224933,FALSE,"2KXksPfkDyi9o2p4ZVUQqQ","Shine",40,"https://i.scdn.co/image/4cc425c6fe8e4af821c2c8bda10e2944642c799c","https://p.scdn.co/mp3-preview/6a07171218060dcc289135da71b86e620191f45f",0.593,0.324,-9.286,0,0.0426,0.86,1.35e-06,0.113,0.268,81.268,4
"2016-07-14T22:55:47Z","716ZwtZBmwROBXcFmCzfdM","Andrew McMahon in the Wilderness","Andrew McMahon In The Wilderness",223879,FALSE,"1MSM3Fo2fvnwVqMcz8Jhjq","Cecilia And The Satellite",65,"https://i.scdn.co/image/327f05e904f7e5630cf61557334a0a8e5259b0b5","https://p.scdn.co/mp3-preview/8a2d041b79136dfd02dce29783335b55adbaf76a",0.383,0.842,-7.119,1,0.137,0.0116,0,0.328,0.23,194.048,4
"2016-07-17T18:07:55Z","6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","One Call Away (Acoustic)",189052,FALSE,"4qE36yuwYbHnsPzlwhrO3M","One Call Away - Acoustic",67,"https://i.scdn.co/image/92d1f7dd7895d1d05bc6376334824fbb4121c26f","https://p.scdn.co/mp3-preview/893e37fba2f30e4d9a17dab8d3f121c76b4ca016",0.649,0.258,-13.442,1,0.0363,0.74,0,0.0799,0.358,90.937,4
"2016-07-24T20:02:20Z","2UBTfUoLI07iRqGeUrwhZh","Steve Earle","Copperhead Road (Deluxe Edition)",270066,FALSE,"0ttKO7eBjyoq5Khr2X9lwV","Copperhead Road",58,"https://i.scdn.co/image/412346a973e619d4b540e79a359d973cefdc0613","https://p.scdn.co/mp3-preview/4bc1227013ea2b894e403536889962d3796d6fdd",0.378,0.742,-10.002,1,0.0444,0.0257,0.000125,0.0659,0.758,163.721,4
"2016-08-08T15:04:47Z","7KMqksf0UMdyA0UCf4R3ux","James Blunt","Moon Landing (Deluxe Edition)",238000,FALSE,"13ETkZ90sElK5xJuB4cUEt","Bonfire Heart",67,"https://i.scdn.co/image/8b11e419a44935f4ad5c72527c7df61151fa52ce","https://p.scdn.co/mp3-preview/cb557c4f91aa7192c275ee9c0637da2905aa9b7f",0.575,0.821,-5.7,1,0.0527,0.181,0,0.124,0.454,118.021,4
"2016-08-08T19:40:26Z","4gzpq5DPGxSnKTe4SA8HAU","Coldplay","Magic",285014,FALSE,"27jdUE1EYDSXZqhjuNxLem","Magic",68,"https://i.scdn.co/image/d02889be147633d60d6348b2b797cce76df562bb","https://p.scdn.co/mp3-preview/4bbc6c3a61b175ca895e0f5a2ab79804f290b263",0.738,0.483,-8.915,0,0.0403,0.0262,0.616,0.106,0.358,93.458,4
